epoch;coder
0;0.01644935366252662;
1;0.017115685647966176;
2;0.015110885692990775;
3;0.01872155619749376;
4;0.01711493832036387;
5;0.017056152732748103;
6;0.018996177379299203;
7;0.017555833935819682;
8;0.0158086084003935;
9;0.018694390022665187;
10;0.016184774613741158;
11;0.01723075139829028;
12;0.016772369234766625;
13;0.0175284543339046;
14;0.01945464866303194;
15;0.019020122460111002;
16;0.018556302912887727;
17;0.018346450238385506;
18;0.018638168727938623;
19;0.02085946569238405;
20;0.019403197266261156;
21;0.016255209370725665;
22;0.015680179182815442;
23;0.016774582266517294;
24;0.01809907281123125;
25;0.017023346957222598;
26;0.017984640716203235;
27;0.01872043338194856;
28;0.016525861600434594;
29;0.01807689258380512;
30;0.01627604858122317;
31;0.019291111077572268;
32;0.014958616083822263;
33;0.016392341475989527;
34;0.015276050321055036;
35;0.018427748407549436;
36;0.018061446932564795;
37;0.019551992048050335;
38;0.016341760002158073;
39;0.01669102861739889;
40;0.015753669284640812;
41;0.01506961011455809;
42;0.01729257332364033;
43;0.016439721413406244;
44;0.017592145171294142;
45;0.014350338843232693;
46;0.017525756791089135;
47;0.016128702973705306;
48;0.01913800708745257;
49;0.01652835450907726;
