epoch;coder
0;0.347061840721715;
1;0.3157443035055461;
2;0.2960361110976124;
3;0.34065814302985775;
4;0.3195081344910111;
5;0.3118697805161724;
6;0.32980845360104855;
7;0.3376009043645355;
8;0.3049009675549307;
9;0.34683801137306647;
10;0.27739493453058855;
11;0.31181482213307893;
12;0.3131547173921897;
13;0.29408107884706786;
14;0.32082777227819487;
15;0.3183665034316597;
16;0.3102878052626498;
17;0.3280112873334648;
18;0.30486399485913535;
19;0.33310884862952533;
20;0.3393281373714865;
21;0.32400861372725653;
22;0.2847203987615338;
23;0.30320074295581645;
24;0.33177087027564844;
25;0.2933799451197131;
26;0.31403857014849473;
27;0.3383209402640339;
28;0.30960500979991634;
29;0.32319936905897556;
30;0.31491751668915674;
31;0.3268584134955004;
32;0.3059089036875133;
33;0.31510089414669934;
34;0.299760859840669;
35;0.3104991207887331;
36;0.3072474348589314;
37;0.3324114450393313;
38;0.3047580328322532;
39;0.30239676020331224;
40;0.30371581774827217;
41;0.28593479573093084;
42;0.32837226037280415;
43;0.3278892351052408;
44;0.33515164298484035;
45;0.2875960070977465;
46;0.3349708070707122;
47;0.29029796348547177;
48;0.3428394678840049;
49;0.30554390092137956;
