epoch;coder
0;0.004998109768692952;
1;0.004787023148314622;
2;0.0040409194440942245;
3;0.004983325365082094;
4;0.004466091287998655;
5;0.00449410970485356;
6;0.005075754125639404;
7;0.004726714735453428;
8;0.004275766333639527;
9;0.005167531598781539;
10;0.00395647851516513;
11;0.004353091413233174;
12;0.004165774449845954;
13;0.00430372054020453;
14;0.0047171972496211564;
15;0.004660244441525253;
16;0.004652839852321042;
17;0.004258295217585646;
18;0.004613311279961265;
19;0.004713454715052679;
20;0.004515469111032373;
21;0.004208117999463367;
22;0.003480362393402;
23;0.004296708337902448;
24;0.00441326598344715;
25;0.00385721338555742;
26;0.004208339154755338;
27;0.004596997332871005;
28;0.0042878187534376765;
29;0.004408852550063041;
30;0.004486460654381767;
31;0.0044317720403331115;
32;0.003938896399835794;
33;0.004641539400551626;
34;0.004049011483948384;
35;0.004397796356878789;
36;0.004175454476967008;
37;0.004866157396490557;
38;0.0041763130546955355;
39;0.004287207236816612;
40;0.004248046212753972;
41;0.003618895928716902;
42;0.004624590573938457;
43;0.004494640060929323;
44;0.0044842201491546935;
45;0.003671042135823926;
46;0.004862907657317856;
47;0.004007688081786366;
48;0.0050185041588477084;
49;0.004329912040941689;
