epoch;coder
0;0.010028106597308194;
1;0.011204474328761357;
2;0.009607651457234303;
3;0.012445507915129567;
4;0.01139771035061029;
5;0.011414657665863219;
6;0.01370779547778864;
7;0.012159057963563242;
8;0.01124649816813636;
9;0.013163863339683727;
10;0.011765596016382454;
11;0.011989840068268004;
12;0.011569991525387645;
13;0.012082400313412756;
14;0.01315574401345906;
15;0.013855097344689513;
16;0.013404895967705416;
17;0.013699219770816746;
18;0.01333618620698477;
19;0.014979124434042217;
20;0.013692739290507266;
21;0.01164335669915151;
22;0.010945196603720191;
23;0.01207051150836952;
24;0.01296522689364911;
25;0.012502183937865884;
26;0.012671907343125136;
27;0.013695434185001716;
28;0.011740309468236662;
29;0.013804990386677034;
30;0.011921323557724446;
31;0.013533611155159216;
32;0.0112142441592063;
33;0.01265153537064651;
34;0.011301463044824149;
35;0.013175881680060057;
36;0.013107359879755661;
37;0.014719752233972582;
38;0.012420652281060747;
39;0.012517660419353739;
40;0.011336840188731871;
41;0.01078516790003915;
42;0.0128388266859502;
43;0.012060964256685184;
44;0.013335811666144273;
45;0.010435030151319528;
46;0.012791223178568284;
47;0.01091477668298782;
48;0.014645353386767299;
49;0.012331686455929894;
