epoch;coder
0;0.007115392319127291;
1;0.006335474637427063;
2;0.006820150407459095;
3;0.0090288901612896;
4;0.007611758106291455;
5;0.007530416305358499;
6;0.008225518144453582;
7;0.009300381121864683;
8;0.00803709449328631;
9;0.01041467329494555;
10;0.009250666161403914;
11;0.009065625809739974;
12;0.008533465006704148;
13;0.008177660984531846;
14;0.008655959816255733;
15;0.007882132113597444;
16;0.00972180443004954;
17;0.00830780046736571;
18;0.00858346812100625;
19;0.008973078055837466;
20;0.008740373855734054;
21;0.00886186558750562;
22;0.008183458406269292;
23;0.009141958477903427;
24;0.00912624238526314;
25;0.009041293284224074;
26;0.008289004959220725;
27;0.009287918621489921;
28;0.007993746838964637;
29;0.008933784136918126;
30;0.009291957697698834;
31;0.008383440485136893;
32;0.008601478690698793;
33;0.009399199030985114;
34;0.007530916726367403;
35;0.00892590156052067;
36;0.008493701282955774;
37;0.00821066172352642;
38;0.007214370991921009;
39;0.007850514600520006;
40;0.009190034058405865;
41;0.007335607944388659;
42;0.008311345443879965;
43;0.008748140031369664;
44;0.008320467147504298;
45;0.00667044314542859;
46;0.009624731545484256;
47;0.007143195345128278;
48;0.008996796794939465;
49;0.009394261729348723;
